ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688710.SH,20241113,47.5,47.95,45.05,46.04,47.9,-1.86,-3.8831,32405.71,149198.649
688710.SH,20241112,47.11,47.93,46.33,47.9,47.74,0.16,0.3351,38744.9,182343.938
688710.SH,20241111,42.03,50.13,41.77,47.74,43.17,4.57,10.5861,61614.09,282848.003
688710.SH,20241108,39.79,44.99,39.77,43.17,39.29,3.88,9.8753,60026.91,255917.707
688710.SH,20241107,38.7,39.29,37.9,39.29,39.04,0.25,0.6404,28669.32,111008.51
688710.SH,20241106,38.58,39.93,38.0,39.04,38.7,0.34,0.8786,41051.44,160720.3
688710.SH,20241105,37.41,38.97,37.01,38.7,37.61,1.09,2.8982,29056.84,111034.187
688710.SH,20241104,37.0,38.18,36.71,37.61,37.08,0.53,1.4293,16943.7,63635.861
688710.SH,20241101,38.61,38.95,36.0,37.08,38.71,-1.63,-4.2108,32858.56,122586.72
688710.SH,20241031,38.5,38.98,37.8,38.71,38.58,0.13,0.337,29854.73,114714.406
688710.SH,20241030,39.2,39.87,38.0,38.58,39.42,-0.84,-2.1309,27689.96,107256.416
688710.SH,20241029,41.4,42.58,39.41,39.42,42.0,-2.58,-6.1429,40219.89,163823.493
688710.SH,20241028,40.35,44.4,39.69,42.0,40.35,1.65,4.0892,50529.12,213663.964
688710.SH,20241025,37.95,41.49,37.03,40.35,37.88,2.47,6.5206,49648.62,194917.779
688710.SH,20241024,37.19,38.59,37.15,37.88,37.69,0.19,0.5041,22530.08,85501.691
688710.SH,20241023,38.78,38.79,37.5,37.69,38.8,-1.11,-2.8608,32274.23,122383.069
688710.SH,20241022,39.81,40.27,38.0,38.8,40.27,-1.47,-3.6504,42562.3,165703.202
688710.SH,20241021,39.5,40.88,38.91,40.27,39.38,0.89,2.26,50066.56,199850.865
688710.SH,20241018,36.0,40.78,35.33,39.38,36.05,3.33,9.2372,56559.24,216798.659
688710.SH,20241017,35.9,37.1,35.84,36.05,35.77,0.28,0.7828,29017.27,105723.193
688710.SH,20241016,34.8,36.74,34.8,35.77,36.4,-0.63,-1.7308,26557.71,95424.651
688710.SH,20241015,36.69,38.78,36.4,36.4,37.63,-1.23,-3.2687,45893.97,172070.635
688710.SH,20241014,36.2,37.86,33.83,37.63,36.25,1.38,3.8069,58291.22,207749.147
688710.SH,20241011,37.8,39.8,35.6,36.25,39.0,-2.75,-7.0513,65398.97,241574.209
688710.SH,20241010,41.08,43.78,37.0,39.0,45.9,-6.9,-15.0327,106225.37,427857.98
688710.SH,20241009,43.73,45.98,41.62,45.9,38.32,7.58,19.7808,145790.18,653239.104
688710.SH,20241008,38.32,38.32,38.32,38.32,31.93,6.39,20.0125,10323.15,39558.311
688710.SH,20240930,28.52,31.93,28.2,31.93,26.61,5.32,19.9925,74422.84,224079.77
688710.SH,20240927,25.13,27.48,25.01,26.61,24.67,1.94,7.8638,53533.86,139301.666
688710.SH,20240926,23.9,24.67,23.68,24.67,24.26,0.41,1.69,50255.08,121344.284
688710.SH,20240925,24.58,25.09,24.26,24.26,24.27,-0.01,-0.0412,64708.5,159549.923
688710.SH,20240924,23.38,24.56,23.38,24.27,23.6,0.67,2.839,53065.51,127140.246
688710.SH,20240923,24.5,25.15,23.6,23.6,23.41,0.19,0.8116,58052.9,141942.382
688710.SH,20240920,23.37,23.68,23.05,23.41,23.34,0.07,0.2999,31640.95,73870.731
688710.SH,20240919,23.15,23.83,22.9,23.34,22.95,0.39,1.6993,36195.79,84712.723
688710.SH,20240918,23.67,23.76,22.52,22.95,23.8,-0.85,-3.5714,37291.8,85738.973
688710.SH,20240913,23.32,24.28,22.98,23.8,23.32,0.48,2.0583,57167.91,135010.287
688710.SH,20240912,24.39,24.55,23.32,23.32,24.23,-0.91,-3.7557,53999.9,129192.019
688710.SH,20240911,24.6,24.74,23.92,24.23,25.27,-1.04,-4.1156,66845.04,162563.043
688710.SH,20240910,27.07,27.48,25.19,25.27,26.57,-1.3,-4.8927,83762.79,216215.684
688710.SH,20240909,26.0,29.19,25.7,26.57,25.35,1.22,4.8126,125300.67,340849.565
688710.SH,20240906,25.28,26.02,25.13,25.35,25.62,-0.27,-1.0539,69210.86,176648.75
688710.SH,20240905,27.22,27.22,25.12,25.62,27.24,-1.62,-5.9471,106711.98,275735.86
688710.SH,20240904,26.51,28.66,26.25,27.24,26.99,0.25,0.9263,127541.32,350657.159
688710.SH,20240903,30.55,32.0,26.31,26.99,19.06,7.93,41.6055,189054.15,527712.687
